i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20080000012946,90325167,NGUYEN VAN 125167,8,VND,22/10/2019,"19,715","3,706,912",22/10/2019
?,20080000012979,901036139,NGUYEN THI 36129,8,VND,31/10/2019,"253,486","3,168,573",31/10/2019
?,20080000013050,90282195,NGUYEN VAN 82195,8,VND,22/10/2019,"254,282","3,258,531",22/10/2019
?,20080000013209,901036163,NGUYEN THI 36153,8,VND,31/10/2019,"295,767","3,697,090",31/10/2019
i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,3
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20080000013571,90284455,NGUYEN VAN 84455,8,VND,22/10/2019,"242,700","3,113,751",22/10/2019
?,20080000013696,90284914,NGUYEN VAN 84914,8,VND,22/10/2019,"520,753","5,113,351",22/10/2019
?,20080000013837,90286411,NGUYEN VAN 86411,8,VND,22/10/2019,"374,570","5,062,119",22/10/2019
?,20080000013860,90287227,NGUYEN VAN 87227,8,VND,22/10/2019,"284,627","3,637,840",22/10/2019
?,20080000014041,90289200,NGUYEN VAN 89200,8,VND,12/11/2019,"272,382","3,564,560",14/10/2019
?,20080000014090,90289697,NGUYEN VAN 89697,8,VND,22/10/2019,"277,592","3,549,903",22/10/2019
?,20080000014132,90288555,NGUYEN VAN 88555,8,VND,22/10/2019,"349,879","4,384,763",22/10/2019
?,20080000014389,90289568,NGUYEN VAN 89568,8,VND,22/10/2019,"347,827","4,427,839",22/10/2019
